topic_index,topic_rank,term_rank,feature,topic_loading,ngram_contrast_rank,ngram_z_score,ngram_ranking_score
44,5,9,chen,0.12349501791501671,2053,1.978985773781528,0.5442210877899202
44,5,10,j.,0.12169312483269057,1949,2.234478862581151,0.5586197156452878
44,5,11,radiation oncology,0.09998373069105748,477,2.503187495351737,1.1890140602920751
44,5,12,nurse,0.07060680444548717,2175,1.764089932836327,0.5292269798508981
44,5,13,% pathogenic,0.07031878966587705,249,2.7403504004786834,1.575701480275243
44,5,14,palliative,0.06807335294999166,882,2.3484500508231836,0.8219575177881142
44,5,15,toes,0.06675119801071781,1315,-2.0919202136406683,0.6798740694332173
23,6,1,global health 40,0.31464116139217474,110,-2.982417893466565,2.16225297276326
23,6,2,health 40,0.31464116139217474,109,-2.982417893466565,2.16225297276326
23,6,3,pro-ctcae fatigue,0.27969207722781225,202,-2.852531624833309,1.7115189748999853
23,6,4,pro-ctcae fatigue -,0.22646401748814524,427,-2.629526830659476,1.249025244563251
23,6,5,instrument pro-ctcae fatigue,0.22646401748814524,426,-2.629526830659476,1.249025244563251
23,6,6,moderate nausea,0.18439245313765576,434,-2.610788653961227,1.2401246106315826
23,6,7,pain 45,0.172050735095906,741,-2.268389579003267,0.9073558316013068
23,6,8,moderate nausea -,0.1648293081368506,637,-2.50637384177608,1.002549536710432
23,6,9,4 moderate nausea,0.16426468553689963,647,-2.4886221498802246,0.9954488599520899
23,6,10,100 pain 45,0.1248454900871846,1027,-2.04939000693758,0.7685212526015925
23,6,11,pain 45 100,0.12484549008718455,1026,-2.04939000693758,0.7685212526015925
23,6,12,75 100,0.1071828171006448,15,-3.389045182134938,3.2195929230281912
23,6,13,65 100,0.10645403564563104,418,-2.5257217918067263,1.2628608959033631
23,6,14,4 mild pain,0.08574381706755997,1729,-2.1568324357467428,0.5931289198303543
23,6,15,40,0.08243138152659744,1652,-1.8638509805735066,0.6057515686863897
71,7,1,3.8 cm,0.23758369176846708,1513,-1.9550932666093035,0.6354053116480236
71,7,2,uptake. -,0.22979557045721158,176,-2.652722880483516,1.7905879443263735
71,7,3,fdg uptake. -,0.18687060250550924,153,-2.8132999970592985,1.8989774980150267
71,7,4,period of,0.1499756814297172,242,-2.7884188449148666,1.6033408358260481
71,7,5,3.8,0.14818474401524007,1626,-2.022625836303939,0.6103995827417246
71,7,6,uptake period of,0.13840919163010817,307,-2.729764767569078,1.4331265029737656
71,7,7,period of 60,0.1356964139047824,306,-2.733335541315644,1.435001159190713
71,7,8,measuring 3.8,0.10307769408006234,1124,-1.849280330391696,0.7397121321566784
71,7,9,fdg uptake.,0.09435769205968884,1226,-2.1812698318882697,0.7089126953636877
71,7,10,fdg,0.0900152191368538,521,-2.521771994749605,1.1347973976373222
71,7,11,of 60,0.07928843537943292,1753,-2.146307508370934,0.5902345648020069
71,7,12,suvmax,0.06698294131626623,885,-2.18899649035804,0.820873683884265
71,7,13,lower lobe,0.06049445885669491,1091,-2.1372966810496927,0.7480538383673924
71,7,14,pet ct,0.057530276527879565,675,-2.26762468087628,0.963740489372419
71,7,15,lower,0.05702169636593769,980,-2.0876412243065197,0.7828654591149449
72,8,1,cognitive function 60,0.6832990167174882,14,3.481337745654621,3.2202374147305246
72,8,2,emotional function 50,0.2866870388745984,715,2.4734057843507493,0.927527169131531
72,8,3,60 100 social,0.26078922803273213,1185,2.2113379734606173,0.7186848413747007
72,8,4,physical function 55,0.21272243595166587,1081,2.141976878503288,0.7496919074761508
72,8,5,50 100 cognitive,0.18357019210179035,1327,2.2557233996703077,0.6767170199010922
72,8,6,status 45,0.18028898858151887,483,2.634953168369672,1.1857289257663524
72,8,7,health status 45,0.17520940326485843,534,2.634953168369672,1.1198550965571106
72,8,8,status 45 100,0.13206621263112245,852,2.3987114996053176,0.8395490248618611
72,8,9,40,0.10267014028759273,1652,-1.8638509805735066,0.6057515686863897
72,8,10,declined,0.09413045738736504,135,-2.988416097709416,2.017180865953856
72,8,11,% pathogenic,0.07814738504660672,249,2.7403504004786834,1.575701480275243
72,8,12,20 100 diarrhea,0.07701458142242258,1188,2.0528394530470093,0.7184938085664532
72,8,13,100 constipation 20,0.07701458142242258,1189,2.0528394530470093,0.7184938085664532
72,8,14,constipation 20 100,0.07701458142242255,1187,2.0528394530470093,0.7184938085664532
72,8,15,constipation 20,0.07689257130866972,2384,1.8517225167676314,0.5092236921110986
12,9,1,oral morphine,0.5620152626231608,7,-3.6367894089608654,3.454949938512822
12,9,2,morphine,0.5185938819269945,92,-3.028333629103618,2.2712502218277137
12,9,3,low-dose oral morphine,0.5083089793001793,82,-3.1551463529412076,2.366359764705906
12,9,4,low-dose oral,0.11069128479389952,2459,-1.8282078085136988,0.5027571473412672
12,9,5,declined,0.0768326143140213,135,-2.988416097709416,2.017180865953856
12,9,6,pain management,0.06975198381207823,1161,-2.241862917000894,0.7286054480252906
12,9,7,evidence of intracranial,0.06765460918699188,271,-2.6489684217626306,1.5231568425135125
12,9,8,2.5,0.057627089362725696,551,-2.4475477195056867,1.101396473777559
12,9,9,occasional anxiety,0.05669136798838076,2232,1.747117642605942,0.5241352927817826
12,9,10,to ecog,0.05588040808976707,1817,-1.9285167182633214,0.5785550154789963
12,9,11,symptomatic bone,0.053120898489583956,1573,1.913144152563487,0.6217718495831333
12,9,12,anxiety about,0.052793511435772766,1248,2.1555661249946323,0.7005589906232556
12,9,13,mg iv,0.04757515677438612,2056,1.8131429370451873,0.5439428811135562
12,9,14,has declined,0.046579131073786306,1016,-2.211531108211246,0.7740358878739361
12,9,15,received,0.045177520886831656,134,2.9906054645538886,2.018658688573875
68,10,1,occasional dry cough,0.3256048359717218,383,-2.6015061076428436,1.3007530538214218
68,10,2,dry cough,0.3007533517209126,378,-2.7628724669682523,1.3123644218099197
68,10,3,occasional dry,0.2901040724617157,623,-2.393049692180459,1.017046119176695
68,10,4,met amplification egfr,0.22282486487825473,79,-3.0834937922568715,2.389707688999075
68,10,5,dry,0.1650469086091476,2315,-1.876885832792531,0.5161436040179461
68,10,6,dry cough no,0.15048277446617198,2638,-1.7766096875775546,0.48856766408382757
68,10,7,amplification egfr,0.10544832782400275,1549,-2.0889453888100076,0.6266836166430022
68,10,8,met amplification pd-l1,0.06560680282219472,772,-2.2268263159053103,0.8907305263621241
68,10,9,stable postoperative,0.06497695303609315,191,-2.669398964660876,1.7351093270295692
68,10,10,met amplification,0.061651970026062396,829,-2.2780018143144534,0.85425068036792
68,10,11,improved,0.0536833932953626,664,-2.4761818880578557,0.9772074951085465
68,10,12,amplification pd-l1,0.04431050530194126,2684,-1.7582519916132386,0.48351929769364066
68,10,13,brain mri no,0.04226478727355567,1206,-2.1972819478182903,0.7141166330409444
68,10,14,lower lobe,0.04174783624554776,1091,-2.1372966810496927,0.7480538383673924
68,10,15,no wheezing,0.041506338391549685,2542,-1.8029787237768446,0.49581914903863233
64,11,1,lesion shows,0.29622894792686555,124,3.0002072688019283,2.1001450881613497
64,11,2,the lesion shows,0.26607984332751156,55,3.142147455784015,2.5922716510218127
64,11,3,non-platinum doublet,0.2619677591862903,1288,2.2904801146893545,0.6871440344068064
64,11,4,non-platinum,0.20049484182453048,2082,1.9630848002757606,0.5398483200758342
64,11,5,lower lobe,0.13256388772182326,1091,-2.1372966810496927,0.7480538383673924
64,11,6,node,0.13183729710363876,65,-3.121405877420767,2.497124701936613
64,11,7,lower,0.12443157607338662,980,-2.0876412243065197,0.7828654591149449
64,11,8,no brain,0.10039876513953601,102,-3.031777167901823,2.1980384467288214
64,11,9,demonstrated kras,0.10033076306073933,229,2.7563048725803316,1.653782923548199
64,11,10,demonstrated kras g12c,0.10033076306073929,230,2.7563048725803316,1.653782923548199
64,11,11,the right lower,0.09814466032653944,2680,-1.7594258116705919,0.4838420982094128
64,11,12,iv t3 n2,0.08911809598360405,2111,1.9488109458608658,0.5359230101117382
64,11,13,lobe. -,0.08070237873444802,205,2.8457328595293836,1.7074397157176302
64,11,14,lower lobe. -,0.07561804299873866,431,2.621464512539529,1.2451956434562763
64,11,15,lymph node,0.070802887725273,950,-2.26784133801483,0.7937444683051905
78,12,1,thorax -,0.5069045900828113,32,-3.451309727905777,2.933613268719911
78,12,2,findings thorax -,0.4346125016355578,185,-3.0800374070522745,1.7710215090550576
78,12,3,findings thorax,0.3937176365161215,266,-2.7874524734170687,1.5330988603793878
78,12,4,thorax - right,0.2821201206764792,566,-2.4034127184570355,1.081535723305666
78,12,5,fdg,0.1445699459667675,521,-2.521771994749605,1.1347973976373222
78,12,6,suvmax,0.13148127071175333,885,-2.18899649035804,0.820873683884265
78,12,7,suvmax =,0.11315406803452949,524,-2.3835689400938325,1.1321952465445704
78,12,8,fdg uptake,0.10823955829437593,424,-2.6343239947683643,1.251303897514973
78,12,9,pet ct,0.0914984040134474,675,-2.26762468087628,0.963740489372419
78,12,10,fdg-avid,0.09040398680440546,1207,-2.1967762191242395,0.7139522712153779
78,12,11,pet,0.09033944623212035,995,-2.2255873517559115,0.778955573114569
78,12,12,uptake,0.08886399359006526,1286,-2.293121899920114,0.6879365699760343
78,12,13,92 mg,0.08285004633478003,277,-2.7453529326995953,1.5099441129847775
78,12,14,fdg uptake.,0.06771090727778294,1226,-2.1812698318882697,0.7089126953636877
78,12,15,uptake. -,0.06726811061058662,176,-2.652722880483516,1.7905879443263735
15,13,1,mg daily.,0.4183633458992997,13,-3.544836499189412,3.278973761750206
15,13,2,mg daily. -,0.4120175424541816,6,-3.7199170041651826,3.533921153956923
15,13,3,10 mg daily.,0.3799680434292741,3,-3.8042753250204555,3.709168441894944
15,13,4,nightly. -,0.30137081773857927,93,-3.228506258600687,2.2599543810204805
15,13,5,nightly.,0.2929818551110395,246,-2.889332824263153,1.589133053344734
15,13,6,20 mg nightly.,0.2718578034227679,269,-2.6639016169912697,1.53174342976998
15,13,7,mg nightly.,0.24294925014832536,489,-2.4784444324768033,1.1772611054264814
15,13,8,mg nightly. -,0.21016887573296436,430,-2.6261493248764025,1.2474209293162912
15,13,9,daily. - hyperlipidemia,0.19956057193745272,970,-2.2469548327567646,0.7864341914648676
15,13,10,daily.,0.1628130137003667,1075,-2.311973167477184,0.7513912794300849
15,13,11,daily. -,0.154937023903063,1653,-2.0189636591380813,0.6056890977414243
15,13,12,on lisinopril 10,0.09660845981742949,564,-2.2884172403709173,1.0869981891761857
15,13,13,controlled on lisinopril,0.0732856261865965,930,-2.1392311133017423,0.8022116674881534
15,13,14,hypertension. - no,0.06837215757387559,833,-2.269210434419077,0.8509539129071538
15,13,15,controlled on,0.05532340643292017,593,-2.326368130859193,1.0468656588866367
82,14,1,frontal 1.2 cm,0.16200981596556155,468,2.5329263570339697,1.2031400195911355
82,14,2,frontal 1.2,0.16200981596556152,467,2.5329263570339697,1.2031400195911355
82,14,3,hemisphere 0.9 cm,0.15043313429321714,474,2.5164205871123877,1.1952997788783841
82,14,4,hemisphere 0.9,0.1491796228561945,532,2.488871958087865,1.1199923811395394
82,14,5,cerebellar hemisphere 0.9,0.1491796228561945,533,2.488871958087865,1.1199923811395394
82,14,6,swi,0.12208738497716953,280,2.606305071205455,1.4986254159431367
82,14,7,susceptibility-weighted imaging,0.11256216983457122,294,2.644419278400036,1.4544306031200198
82,14,8,on swi.,0.10942046391590028,100,3.037101583315752,2.20189864790392
82,14,9,swi.,0.10942046391590028,99,3.037101583315752,2.20189864790392
82,14,10,0.9 cm,0.10863567226158967,1,4.3225577380183475,4.3225577380183475
82,14,11,imaging swi,0.10626938859616081,370,2.5294607634897277,1.327966900832107
82,14,12,susceptibility-weighted imaging swi,0.10626938859616081,371,2.5294607634897277,1.327966900832107
82,14,13,susceptibility-weighted,0.10224643541116778,321,2.682433322476014,1.408277494299907
82,14,14,enhancing lesions left,0.09194869416733563,42,3.2045339742112255,2.803967227434822
82,14,15,perilesional,0.0811714906276689,5,3.658053755527793,3.658053755527793
86,15,1,weeks for pre-cycle,0.32825461512615656,215,-2.798680746797817,1.6792084480786902
86,15,2,for pre-cycle,0.30480755825302097,377,-2.6274872418285162,1.3137436209142581
86,15,3,pre-cycle,0.2901461279350912,807,-2.31473783537214,0.8680266882645524
86,15,4,pre-cycle labs,0.23293122992822454,1071,-2.15190464132625,0.7531666244641875
86,15,5,on day,0.20343007519910086,810,-2.303949416919702,0.8639810313448884
86,15,6,pre-cycle labs and,0.19441485209443887,1722,-1.9814492860080843,0.5944347858024253
86,15,7,for pre-cycle labs,0.19136503016732523,1814,-1.9317185522388172,0.5795155656716451
86,15,8,with cycle,0.16898382802136383,333,-2.7795924640991947,1.3897962320495973
86,15,9,proceed with cycle,0.15432213313030826,480,-2.639742051223437,1.1878839230505467
86,15,10,cycle 2,0.1464725879880079,2354,-1.863846111267928,0.5125576805986802
86,15,11,clinic in 3,0.1385796312347417,293,-2.650808898248954,1.4579448940369248
86,15,12,cycle 3,0.13571526876907694,2465,-1.826749590623522,0.5023561374214686
86,15,13,day,0.1241675719020311,2798,-1.7321413239310333,0.4763388640810342
86,15,14,- proceed,0.11238065782837971,865,-2.375116487713789,0.8312907706998262
86,15,15,- proceed with,0.11238065782837968,866,-2.375116487713789,0.8312907706998262
75,16,1,diagnosis non-small cell,0.5907152494322302,54,-3.2675237106899506,2.61401896855196
75,16,2,diagnosis non-small,0.5907152494322302,53,-3.2675237106899506,2.61401896855196
75,16,3,primary diagnosis non-small,0.2601170328346898,1271,-2.129378015339135,0.6920478549852188
75,16,4,- sex age,0.21067956012661307,216,-2.792740331663539,1.6756441989981234
75,16,5,- sex,0.1826946530718597,614,-2.426768817988556,1.0313767476451363
75,16,6,years -,0.1325910018510039,1850,-1.9167841134468202,0.575035234034046
75,16,7,sex age,0.11290903978750362,122,-3.014137228738044,2.109896060116631
75,16,8,nodal metastasis.,0.057464015998415024,222,-2.766825324612458,1.660095194767475
75,16,9,ra,0.055680099158167295,103,-3.0261099197252928,2.1939296918008373
75,16,10,nodal metastasis. 3.,0.05225739342150134,413,-2.663810777123341,1.265310119133587
75,16,11,pelvis in 8,0.04952153930710995,761,-2.2435827633608962,0.8974331053443585
75,16,12,resolved with,0.044536017063107995,1398,1.88523903344899,0.6598336617071464
75,16,13,germline,0.043707517706743,567,-2.276469989500084,1.0813232450125398
75,16,14,no new respiratory,0.04335905576901274,636,-2.2292043739098006,1.0031419682594103
75,16,15,male -,0.04321473478376774,2622,-2.111366485734546,0.4901386484740911
87,17,1,chills chest pain,0.523159976519939,184,-2.8370911279013216,1.7731819549383259
87,17,2,chills chest,0.5231599765199388,183,-2.8370911279013216,1.7731819549383259
87,17,3,fever chills chest,0.3921777041653666,554,-2.4442344931024684,1.099905521896111
87,17,4,dry cough,0.20214471862528963,378,-2.7628724669682523,1.3123644218099197
87,17,5,dry,0.1170728623660438,2315,-1.876885832792531,0.5161436040179461
87,17,6,kg since,0.0766974898833838,547,-2.4577510080643648,1.105987953628964
87,17,7,month,0.06923504027255979,345,2.46777096837597,1.3572740326067836
87,17,8,occasional dry cough,0.06185460162447228,383,-2.6015061076428436,1.3007530538214218
87,17,9,discussion and,0.061604446208612294,24,3.4296119864101504,3.0866507877691354
87,17,10,exertional,0.06029585574619165,126,-2.9725722145204054,2.080800550164284
87,17,11,toes,0.06027257297698795,1315,-2.0919202136406683,0.6798740694332173
87,17,12,any systemic,0.05798672385851215,665,2.3346115197345028,0.9755340993176316
87,17,13,2 moderate,0.05625629348967961,401,-2.6963404443189822,1.2807617110515166
87,17,14,occasional dry,0.05569921457901203,623,-2.393049692180459,1.017046119176695
87,17,15,wild-type. -,0.05553397174461508,504,-2.5697040064988124,1.1563668029244656
57,18,1,was negative,0.37021216418302944,4,-3.7927481483104066,3.6979294446026465
57,18,2,was negative for,0.2536465731558648,461,-2.5533531656954036,1.2128427537053166
57,18,3,mri was negative,0.242924074145215,417,-2.6593728689533394,1.2632021127528361
57,18,4,mri was,0.24240114519167566,428,-2.6290924944342393,1.2488189348562637
57,18,5,brain mri was,0.18212669060042955,1122,-2.278707223140199,0.7405798475205647
57,18,6,sore throat sinus,0.15448923024385333,283,-2.7047795227662923,1.487628737521461
57,18,7,throat sinus,0.15448923024385333,282,-2.7047795227662923,1.487628737521461
57,18,8,no sore throat,0.14670084396845925,386,-2.7289308034245505,1.2962421316266615
57,18,9,no sore,0.13026560327172856,591,-2.4691094880390865,1.0493715324166117
57,18,10,heent no sore,0.12079697510638308,877,-2.20059980577397,0.8252249271652388
57,18,11,mri - no,0.10193896234486317,343,-2.5897925067580125,1.3596410660479563
57,18,12,brain mri no,0.09836911858868357,1206,-2.1972819478182903,0.7141166330409444
57,18,13,negative for intracranial,0.09468794040838212,2437,-1.833968017218488,0.5043412047350843
57,18,14,mri no intracranial,0.08828489928947696,1812,-2.108053781643298,0.5797147899519071
57,18,15,mri no,0.07769777033648363,2725,-1.923651233903673,0.4809128084759183
51,19,1,low-dose ct obtained,0.42760795053355477,64,-3.126697405091248,2.501357924072998
51,19,2,ct obtained for,0.40268726134957156,107,-2.987731553373531,2.16610537619581
51,19,3,ct obtained,0.3902027744487169,131,-2.9533197536341818,2.067323827543927
51,19,4,obtained for attenuation,0.2843681827440536,60,-3.1508460033742076,2.520676802699366
51,19,5,obtained for,0.22872533756101432,161,-2.8713693472582857,1.8663900757178857
51,19,6,fdg,0.18326886144483642,521,-2.521771994749605,1.1347973976373222
51,19,7,fdg uptake,0.15826490893066789,424,-2.6343239947683643,1.251303897514973
51,19,8,suvmax,0.15087886741117348,885,-2.18899649035804,0.820873683884265
51,19,9,pet ct,0.14266591887204916,675,-2.26762468087628,0.963740489372419
51,19,10,pet,0.1284914182381066,995,-2.2255873517559115,0.778955573114569
51,19,11,uptake,0.11685405312306861,1286,-2.293121899920114,0.6879365699760343
51,19,12,fdg-avid,0.10640716370704495,1207,-2.1967762191242395,0.7139522712153779
51,19,13,technique whole-body,0.09565730045769966,1592,-2.058045871096251,0.6174137613288753
51,19,14,10 mci,0.09391246925133327,172,-2.7730804723162312,1.8025023070055504
51,19,15,minutes after intravenous,0.09222451143262478,1501,-2.125610855625294,0.6376832566875882
28,20,1,1 000,0.4630650801193437,27,-3.497511727564363,3.0603227616188176
28,20,2,1 000 mg,0.44685435560703884,41,-3.30564702013042,2.809799967110857
28,20,3,000 mg,0.44667111680202226,63,-3.2289039303725637,2.5024005460387366
28,20,4,000 mg m,0.4457550046470295,40,-3.311005536925083,2.814354706386321
28,20,5,000,0.26516334311950196,803,-2.3221294780984056,0.8707985542869021
28,20,6,iv on,0.070489049859694,1509,-1.958348408237466,0.6364632326771765
28,20,7,mild cough,0.05468151210945794,620,-2.154844840352541,1.023551299167457
28,20,8,every 21,0.04319432567265855,672,-2.422455530344221,0.9689822121376883
28,20,9,neutropenia grade,0.04273781205531981,785,-2.213950944535325,0.8855803778141301
28,20,10,- neurologic cranial,0.0398316700009243,21,3.4510293474665046,3.105926412719854
28,20,11,1.5 k,0.039519594004334156,485,-2.4924268456054426,1.183902751662585
28,20,12,the surrounding lung,0.039516738202004,384,-2.5978207118799084,1.2989103559399542
28,20,13,pd-l1 10%,0.037711348176712484,1506,-1.9599223517926445,0.6369747643326095
28,20,14,5 days ago,0.03600612619356535,900,-2.3219321637710695,0.8126762573198743
28,20,15,at age 80,0.03583178740584809,2674,-1.7615723624628024,0.4844323996772707
16,21,1,is dominated,0.3523588324578813,16,-3.570549067098979,3.213494160389081
16,21,2,is dominated by,0.3523588324578813,17,-3.570549067098979,3.213494160389081
16,21,3,profile is dominated,0.3432612997982152,38,-3.3378686783738747,2.8371883766177937
16,21,4,dominated by a,0.33984248796568367,39,-3.233260490140357,2.8291029288728127
16,21,5,dominated by,0.33271114554439574,86,-3.114301512177028,2.335726134132771
16,21,6,dominated,0.33271114554439574,87,-3.114301512177028,2.335726134132771
16,21,7,by a kras,0.3187233448021514,29,-3.328588840993592,2.995729956894233
16,21,8,g12c driver with,0.2513977314634975,221,-2.7690205597287147,1.6614123358372288
16,21,9,driver with,0.17623117408717684,756,-2.4031844241483573,0.901194159055634
16,21,10,kras g12c driver,0.14044972770018008,821,-2.287563497883625,0.8578363117063594
16,21,11,g12c driver,0.14044972770018008,822,-2.287563497883625,0.8578363117063594
16,21,12,driver with concurrent,0.10696442854459581,1213,-2.188295823483362,0.7111961426320927
16,21,13,molecular profile is,0.10442215468377036,1840,-1.9214030747419433,0.5764209224225829
16,21,14,overall the,0.08211758140946718,1903,-2.0619705808322166,0.5670419097288596
16,21,15,a kras g12c,0.0612464394789467,2381,-1.6982994549307602,0.5094898364792281
27,22,1,short axis <=,0.455617563949052,173,-2.8784591768903542,1.7990369855564714
27,22,2,axis <=,0.455617563949052,174,-2.8784591768903542,1.7990369855564714
27,22,3,lymph nodes short,0.2989559276956293,708,-2.486961915219931,0.9326107182074741
27,22,4,nodes short axis,0.2602304138286838,1263,-2.135147422557469,0.6939229123311774
27,22,5,nodes short,0.2602304138286838,1264,-2.135147422557469,0.6939229123311774
27,22,6,mm .,0.15242578445702712,1900,-2.062911467053369,0.5673006534396765
27,22,7,8 mm .,0.1324499351319438,2865,-1.883071641869397,0.4707679104673492
27,22,8,or hilar lymph,0.11811375354307503,1344,-1.9247417607067911,0.6736596162473769
27,22,9,<=,0.11280708931691041,2876,-1.8798531389812636,0.4699632847453159
27,22,10,enlarged mediastinal or,0.11097613534245361,896,-2.038704888795305,0.8154819555181221
27,22,11,mediastinal or hilar,0.09659436864505844,516,-2.4056465828852933,1.1426821268705143
27,22,12,or hilar,0.08782050307905102,650,-2.3281740564237645,0.9894739739800998
27,22,13,mediastinum hilum no,0.0758627814275073,1261,-2.1368221567599734,0.6944672009469914
27,22,14,hilum no,0.0758627814275073,1262,-2.1368221567599734,0.6944672009469914
27,22,15,thickening or effusion.,0.07498770919946678,104,-3.1307372059262875,2.191516044148401
48,23,1,performance status 2,0.5963133529833029,45,3.323721828364907,2.7420705084010484
