feature,coefficient,direction
lipid,-0.3131508375347214,negative
patient evelyn,-0.3119755165922922,negative
daily atorvastatin,-0.31167132096432165,negative
age 80,-0.3083167205627576,negative
creatinine mg,-0.3076645225063274,negative
lives alone,-0.30498410514522417,negative
20 mg,-0.30436441479072707,negative
father died,-0.3032636050087572,negative
spo2 94,-0.3027378846927937,negative
appears,-0.3015637950653297,negative
78 year,-0.30147209429627647,negative
meq,-0.30001628785601187,negative
renal impairment,-0.2995086198183019,negative
adjustments,-0.2992367180797738,negative
15 mg,-0.2986590800554101,negative
evelyn martinez,-0.29642110628239776,negative
age 82,-0.29586945230230516,negative
patient eleanor,-0.2956261270283773,negative
94 on,-0.2949579729063778,negative
is 71,-0.2936596755486543,negative
84 year,-0.291828049390312,negative
nightly acetaminophen,-0.2917972309762238,negative
age 72,-0.2894024024486921,negative
58 ml,-0.28899596824507795,negative
nightly,-0.2883494793811438,negative
84,-0.28805484602630765,negative
bun 15,-0.28680844527404775,negative
128 78,-0.2841128635678991,negative
eleanor mitchell,-0.28232751205079276,negative
copd,-0.282042477500498,negative
45 ml,-0.2820402110234262,negative
lipid lowering,-0.28171673355472676,negative
independent in,-0.2812224321323208,negative
po nightly,-0.28111424736731655,negative
ambulation,-0.28040491486152797,negative
nephrotoxic,-0.27976307090852015,negative
lowering,-0.2790111233024749,negative
77 year,-0.27875087185607156,negative
antihypertensive,-0.27690185424502406,negative
robert miller,-0.27631063653886295,negative
he,-0.27445300411341156,negative
40 pack,-0.2734435319742627,negative
renal,-0.27214174124124396,negative
quit 10,-0.27213315087584733,negative
nephrotoxic agents,-0.27183297481782004,negative
electrician,-0.27072588286109606,negative
independent,-0.2706966803806147,negative
docetaxel,-0.26989212392104306,negative
retired electrician,-0.26945603009538127,negative
10 years,-0.26893664937702155,negative
81,-0.2688881589603752,negative
care but,-0.2682673013019747,negative
dl high,-0.26776911792529423,negative
smoker 40,-0.26751628062143096,negative
his,-0.2667954326355465,negative
86 year,-0.26643825882858735,negative
miller is,-0.2663132347340235,negative
16 mg,-0.2656358312087924,negative
and lipid,-0.26520428739037455,negative
at 78,-0.26360595313701174,negative
walker,-0.26317760428727865,negative
age 76,-0.2598299421958281,negative
age 74,-0.25973287185471544,negative
bun 16,-0.2584848566621038,negative
stated age,-0.2559960916918214,negative
75 year,-0.25547318681805053,negative
min bun,-0.2544087579956899,negative
stated,-0.25359151861959556,negative
age and,-0.2528296976863618,negative
accountant lives,-0.2521697190698367,negative
55 ml,-0.2508289348275835,negative
age 79,-0.25021598379908266,negative
hyperlipidemia osteoarthritis,-0.24976018137239045,negative
spouse former,-0.24653100191078384,negative
obstructive,-0.24650222635035932,negative
48 ml,-0.2438812449359907,negative
in single,-0.24028135678768456,negative
age 87,-0.2396196436663412,negative
illness john,-0.23956113086945083,negative
acceptable for,-0.23798136358811303,negative
dose adjustments,-0.23764395635575014,negative
obstructive pulmonary,-0.23668873355184644,negative
and advance,-0.23660779852681313,negative
71 encounter,-0.23637243456835882,negative
no alcohol,-0.23595283939095457,negative
current antihypertensive,-0.23458159474455598,negative
liver lesion,-0.23436260687463692,negative
miller mrn,-0.23410773164127757,negative
for joint,-0.23305248012319163,negative
nutritional,-0.23195310017644236,negative
home oxygen,-0.23151378820849666,negative
73 year,-0.22984095896497328,negative
illness robert,-0.22949826870872073,negative
antihypertensive and,-0.22854843443962033,negative
adls,-0.22693358474314315,negative
45 pack,-0.22668097302062615,negative
atorvastatin 20,-0.22645924608460916,negative
chronic obstructive,-0.22573001893838182,negative
20 high,-0.22563871971743443,negative
is 78,-0.2243278598131551,negative
oxygen,-0.22432391202736418,negative
76 mmhg,-0.22426425891514162,negative
2005,-0.22409570800371115,negative
hypodense lesion,-0.22285772952706326,negative
lisinopril hyperlipidemia,-0.22068170297999526,negative
gastrointestinal appetite,-0.2200961651051157,negative
fatigued,-0.21988456168836829,negative
86,-0.21950283231040488,negative
70 year,-0.21923763030697221,negative
high bun,-0.2190980359496736,negative
appears mildly,-0.21795522099781459,negative
male,-0.2170065794922846,negative
ago lives,-0.2166268470947736,negative
but unable,-0.21646818300397755,negative
128 76,-0.21636648062709385,negative
cholecystectomy 2005,-0.21632145160726937,negative
mildly reduced,-0.21611276086305942,negative
and renal,-0.21571584827959417,negative
dyspnea 60,-0.21548520720144787,negative
nad appears,-0.2146867939322737,negative
baseline cr,-0.21339764263177854,negative
fgfr1,-0.2131811047571731,negative
ecog limited,-0.21264655350117206,negative
air temp,-0.21246130807021144,negative
78 sex,-0.21236904987836772,negative
75 encounter,-0.21233255917873758,negative
for most,-0.21218386750120005,negative
comorbidities hypertension,-0.21055952289051097,negative
pneumonia,-0.21035243111578925,negative
138 meq,-0.21029060465031932,negative
dose adjustment,-0.20965608037905242,negative
harold thompson,-0.2096403310236204,negative
palliative care,-0.2093473958237705,negative
spo2 92,-0.20916338744202448,negative
fatigue 70,-0.20915105585988442,negative
68 year,-0.20891693242023748,negative
78 father,-0.2086478878106087,negative
hypertension controlled,-0.20833547546985914,negative
in adls,-0.20799108800585975,negative
requires,-0.20797122789886785,negative
stable on,-0.20776482790130513,negative
rr 18,-0.20673252197374767,negative
single family,-0.20660684167508564,negative
family home,-0.20660684167508564,negative
borderline renal,-0.2064886156080154,negative
at 72,-0.205472808660373,negative
line docetaxel,-0.20522767221763188,negative
bp 138,-0.20434117918396066,negative
lll,-0.20425539313669905,negative
retired accountant,-0.20316482394230215,negative
nightly albuterol,-0.2030377021248329,negative
function 45,-0.2025812183074833,negative
history father,-0.20254918140100467,negative
18 min,-0.20190949599965632,negative
bun,-0.20112964478271603,negative
71 sex,-0.20031455601244752,negative
meq reference,-0.20013042718721125,negative
robert is,-0.19990473465818295,negative
wishes,-0.19875999080484644,negative
community acquired,-0.19832482741228033,negative
walker for,-0.19825094052219547,negative
mitchell,-0.19817926817774006,negative
egfr 58,-0.19807885090822586,negative
self care,-0.1976825782276942,negative
is 77,-0.19708283964577364,negative
function crcl,-0.1967202719739415,negative
o2,-0.1957611216692334,negative
uses,-0.1956857231216212,negative
of left,-0.19484922578345315,negative
address symptom,-0.19414952586811357,negative
87,-0.1941193644749785,negative
83,-0.19329110219080664,negative
mildly fatigued,-0.19252516626723334,negative
illness harold,-0.19242856202189973,negative
to maintain,-0.19240868023385713,negative
acquired pneumonia,-0.192325891298681,negative
progressive dyspnea,-0.19228947568153512,negative
adjustment,-0.191877549143117,negative
goals of,-0.1914051167973377,negative
118 72,0.6409423284519528,positive
bp 118,0.6352929544428854,positive
118,0.577124381541066,positive
works,0.5284073668771757,positive
122 78,0.5232000305539181,positive
age 55,0.5172362185806473,positive
122,0.5149627677690441,positive
bp 122,0.5139680755082081,positive
78 mg,0.4825904713383743,positive
with partner,0.48230067837937307,positive
partner,0.4375232279976306,positive
260,0.41888556630657836,positive
graphic,0.41182812981718164,positive
graphic designer,0.41182812981718164,positive
designer,0.41182812981718164,positive
creatinine 78,0.4101353804855298,positive
full time,0.39608353261699086,positive
elena,0.3953492366535752,positive
age 53,0.39492127375969593,positive
age 49,0.39201481899078766,positive
spo2 98,0.3919629830650412,positive
bun 12,0.3912853138475823,positive
as graphic,0.38180423661665225,positive
patient emily,0.3808627915657185,positive
age 51,0.3697689228501351,positive
time as,0.3642438694515138,positive
54,0.36413106354506153,positive
98 on,0.3606822842888001,positive
age 50,0.3511422143698367,positive
49,0.3458247375815357,positive
patient elena,0.3456205323414789,positive
min normal,0.3449059904040264,positive
software,0.3396917705422638,positive
12 mg,0.3391881105066681,positive
engineer,0.3389446699381128,positive
85 mg,0.3315081594513155,positive
age 48,0.3302281275078572,positive
plt 260,0.3246080418569724,positive
hypertension father,0.3223101635165223,positive
software engineer,0.32022854684171964,positive
51,0.31674618324804116,positive
cisplatin pemetrexed,0.31610820673731477,positive
age 56,0.31279533800698767,positive
age 46,0.31187257073922625,positive
age 45,0.3096712120182203,positive
occupation,0.30420574871452605,positive
week illicit,0.303326342588651,positive
james patel,0.30121569053560027,positive
chronic medical,0.2994764229700911,positive
part time,0.29891327284445024,positive
72 mmhg,0.2982202349536061,positive
daily no,0.296603122842344,positive
age 58,0.2959425551844698,positive
known chronic,0.29193629179254943,positive
53 year,0.2908928476085949,positive
spouse works,0.2883297545192418,positive
53,0.28055296234312044,positive
10 pack,0.2797410130585532,positive
works as,0.2794638633202403,positive
age 54,0.27894697413860287,positive
48 year,0.2786213315692101,positive
well appearing,0.2729279012214463,positive
240,0.2720440953184129,positive
109,0.2694839672950166,positive
55 year,0.26898848515157625,positive
michael thompson,0.26516009004252955,positive
michael,0.2648138731116623,positive
20 pack,0.26416039470427116,positive
elena martinez,0.26289006627902334,positive
general well,0.2625803535352842,positive
linda,0.2621216188034155,positive
medical conditions,0.2615411683402127,positive
age 52,0.2587480771932733,positive
works part,0.2584361126723488,positive
260 μl,0.2575837570013279,positive
conditions,0.2558573151723286,positive
drugs denies,0.2539105702367239,positive
patient michael,0.25375357461398723,positive
daniel,0.2528236785682904,positive
ortiz,0.2514666469115601,positive
smoker 10,0.24986724855456682,positive
erlotinib,0.24811296445299041,positive
illness emily,0.2479489403486146,positive
46,0.24702656504982312,positive
smoker 20,0.24657447084623368,positive
emily is,0.2464722820297296,positive
father hypertension,0.24341754398914445,positive
right lower,0.24139153404767733,positive
patient daniel,0.24124086866251918,positive
left iliac,0.2408038145671352,positive
prior surgeries,0.24062645987750986,positive
works full,0.2377257605767591,positive
alcohol social,0.23737092476575178,positive
appearing,0.23647461435365993,positive
lungs clear,0.2359090777958769,positive
patient linda,0.235905724047009,positive
she,0.23469878639576752,positive
platelets 260,0.23428659561449616,positive
patel age,0.23202386059123073,positive
daniel ortiz,0.23120123207542545,positive
surgeries,0.23109248919261927,positive
age 57,0.23083460299818226,positive
creatinine 80,0.2298269391526515,positive
age 40,0.22976639072190633,positive
employed,0.2275268631555813,positive
creatinine 85,0.22685862034057136,positive
right upper,0.22641637954241867,positive
plt 240,0.22627902626132737,positive
rr 14,0.22599988725195613,positive
patient laura,0.22599665555253623,positive
patel,0.22448810020373916,positive
58,0.2244097721001952,positive
father alive,0.22401944058237155,positive
as software,0.22399251694767125,positive
iliac bone,0.22294000131160222,positive
g12c stk11,0.2224461091273476,positive
63 year,0.22140160034967155,positive
45 year,0.21956064679962728,positive
260 ul,0.2192809046994056,positive
age 42,0.21762799966971438,positive
57,0.21761556867343712,positive
55 encounter,0.2173410076018912,positive
ramirez,0.21705869246636533,positive
14 min,0.21666171171675763,positive
week works,0.21529370693227945,positive
alc,0.2147146637293642,positive
ecog fully,0.21388949937185497,positive
never smoker,0.2135108543636844,positive
52 year,0.21241380537438256,positive
115 ml,0.2109040883195828,positive
bilateral pulmonary,0.2106956054202563,positive
the cough,0.20843535186641315,positive
illness michael,0.20832460425150404,positive
62 no,0.20791492560699024,positive
erythema,0.20760700236573112,positive
age 44,0.20654610327280407,positive
history mother,0.20617375491353218,positive
employed as,0.20611492402783052,positive
80 mg,0.20599188385738929,positive
and bilateral,0.20550656555375846,positive
240 μl,0.2048999350026124,positive
illnesses,0.20441686428489927,positive
supportive home,0.20303770580826974,positive
fully active,0.20288130554555636,positive
63,0.2026410384498687,positive
80 100,0.20222772745329753,positive
after two,0.20170492170532306,positive
partner no,0.20166693145408957,positive
tps 20,0.20077469886016722,positive
is 53,0.20073760845565014,positive
platinum doublet,0.20061796682859517,positive
laura,0.20058337095438247,positive
lower lobectomy,0.20056436068164277,positive
kumar,0.19981087060528138,positive
linda martinez,0.19962920090614508,positive
female,0.1990081613769284,positive
nodes positive,0.1986942281630276,positive
renal and,0.19867338876065838,positive
alive,0.1981673270970333,positive
age 41,0.197811778915339,positive
68 no,0.19690294259597366,positive
dr kumar,0.19633918228636904,positive
85 100,0.1963320413805314,positive
doublet,0.19506674162262033,positive
at 62,0.19497305189916742,positive
multivitamin,0.1919299683183467,positive
other chronic,0.19181651630662233,positive
58 year,0.19157001535144766,positive
no chronic,0.19120346900067753,positive
baseline tumor,0.1910014973666025,positive
surgically,0.1907889227607154,positive
emily rivera,0.19060838419515508,positive
62,0.1903805401639489,positive
stk11 tp53,0.19033291698768856,positive
illicit drugs,0.1897826065342602,positive
65 year,0.18934941783267137,positive
history never,0.18932514939212175,positive
positive diffuse,0.1892595926172077,positive
smoker alcohol,0.1882748764607159,positive
kumar md,0.1878146183687069,positive
124,0.18736306276487347,positive
wine week,0.1868295702921588,positive
rivera age,0.1867194647530688,positive
appearing nad,0.18490988569741199,positive
multivitamin daily,0.18366672657820413,positive
49 year,0.1833156083924863,positive
age 62,0.18254002520157894,positive
situation lives,0.18194692327832288,positive
hgb 14,0.18187283261739184,positive
rivera,0.1811116743295935,positive
101 ml,0.18092458570779874,positive
disease after,0.18059038042948797,positive
patel is,0.18036981734467422,positive
site,0.18034494540141427,positive
53 sex,0.1799549901034101,positive
low hct,0.17973520036348778,positive
occupation software,0.17964156741679166,positive
home environment,0.1796391463788239,positive
mediastinal station,0.17957292425259824,positive
51 year,0.17922692414568692,positive
wing,0.17774086215886284,positive
iliac wing,0.17774086215886284,positive
55 sex,0.1776839192235096,positive
cr 85,0.17714788836400297,positive
age 38,0.17657118930457494,positive
never,0.1765643832142902,positive
tobacco never,0.17568577005847502,positive
53 encounter,0.1755354089656425,positive
age 65,0.17522470809532906,positive
55 instrument,0.1747563805336597,positive
denies occupation,0.17434625583156602,positive
98,0.17397073748323202,positive
social drinker,0.17386923420441389,positive
elena ramirez,0.17384298219171848,positive
stations 4r,0.17369898474756176,positive
emily,0.1736285692187239,positive
diffuse supports,0.17349639573533107,positive
cr 78,0.17303188968555866,positive
appearing in,0.17261512141582971,positive
history persistent,0.17231049029508255,positive
fully,0.17161183248784495,positive
drugs,0.1711986546177247,positive
two cycles,0.17054529743916683,positive
full,0.16980533896343064,positive
given potential,0.16971179563814293,positive
115,0.16942792830275488,positive
began,0.16916667336456695,positive
165 cm,0.1691618997027069,positive
free doublet,0.16895225801684932,positive
doublet chemotherapy,0.16870152089071486,positive
negative no,0.16855761937219543,positive
normal ldh,0.16818384373556347,positive
56 year,0.16798753426388155,positive
lytic lesion,0.1676724018335976,positive
partner works,0.1675378902496919,positive
redacted sex,0.1674473309813359,positive
auscultation,0.16710143574774278,positive
doe,0.1669093185831988,positive
age 61,0.16664966362688835,positive
alex,0.16635997965094618,positive
fatigue 55,0.16626895160495303,positive
sedentary,0.16622534109057824,positive
in emr,0.16542497389775068,positive
nsclc the,0.1651464360347211,positive
drinker,0.1649982911841282,positive
age 59,0.16493316910206093,positive
at 58,0.16486444543212664,positive
living situation,0.16472944112808802,positive
normal alc,0.1647276604093418,positive
left adrenal,0.16442555883745996,positive
