feature,outer_fold_count,mean_z_score,mean_abs_z_score,positive_fold_fraction,mean_ranking_score,best_rank,mean_rank,mean_document_frequency,mean_source_sign_agreement,mean_subsample_sign_agreement,mean_subsample_top_pool_frequency,direction_consistency,stable_relevance_score
2.5 mg,5,-2.813186480511964,2.813186480511964,0.0,1.851500628288085,48,203.0,79.2,1.0,1.0,0.5266666666666666,1.0,1.851500628288085
- left lung,5,2.7531546331829455,2.7531546331829455,1.0,1.825221811717689,39,238.6,130.4,1.0,1.0,0.5266666666666666,1.0,1.825221811717689
recist criteria,5,2.7666112766199533,2.7666112766199533,1.0,1.8226072118947976,10,332.2,172.8,1.0,1.0,0.49333333333333335,1.0,1.8226072118947976
infusion hold chemotherapy,5,-2.7211483045025266,2.7211483045025266,0.0,1.8189393054959797,53,259.4,73.6,1.0,1.0,0.5266666666666666,1.0,1.8189393054959797
may be,5,-2.622634798563492,2.6226347985634924,0.0,1.814792185014269,25,425.6,752.0,1.0,1.0,0.52,1.0,1.814792185014269
m1 right,5,2.708120582766061,2.708120582766061,1.0,1.8117379415039405,56,333.2,48.8,1.0,1.0,0.5266666666666666,1.0,1.8117379415039405
none rash,5,-2.8428861375371053,2.8428861375371057,0.0,1.8014001599094205,74,175.8,240.8,1.0,1.0,0.5066666666666666,1.0,1.8014001599094205
nodules or masses.,5,2.5704715011627686,2.5704715011627686,1.0,1.7931377027158881,14,2203.6,155.2,1.0,0.9866666666666667,0.5,1.0,1.7931377027158881
pelvic lymphadenopathy.,5,-2.7713902942856685,2.771390294285668,0.0,1.7778437643481126,5,312.0,92.8,1.0,1.0,0.4666666666666667,1.0,1.7778437643481126
left lung no,5,2.7023344810779806,2.7023344810779806,1.0,1.7739214353854131,27,410.8,115.2,1.0,1.0,0.5,1.0,1.7739214353854131
social function 70,5,-2.7041432029928303,2.70414320299283,0.0,1.7683736573503883,41,284.4,183.2,1.0,1.0,0.5066666666666666,1.0,1.7683736573503883
with differential and,5,-2.794586020379565,2.7945860203795645,0.0,1.7658080273752994,43,250.4,164.0,1.0,1.0,0.48666666666666664,1.0,1.7658080273752994
lung shows,5,2.7320101604814107,2.73201016048141,1.0,1.7623745191222546,6,387.4,68.8,1.0,1.0,0.4666666666666666,1.0,1.7623745191222546
adenopathy.,5,2.6876600271019297,2.6876600271019297,1.0,1.7596712878434324,15,635.8,298.4,1.0,1.0,0.44000000000000006,1.0,1.7596712878434324
differential and,5,-2.780094746745573,2.7800947467455734,0.0,1.7576610956485523,42,254.8,164.8,1.0,1.0,0.48666666666666664,1.0,1.7576610956485523
first hour <new,5,2.6965240581907617,2.6965240581907617,1.0,1.7559390069622829,41,573.8,702.4,1.0,1.0,0.4866666666666667,1.0,1.7559390069622829
morphine 2.5,5,-2.7404366736320696,2.7404366736320696,0.0,1.7467064924790066,39,241.6,68.8,1.0,1.0,0.49333333333333335,1.0,1.7467064924790066
morphine 2.5 mg,5,-2.7404366736320696,2.7404366736320696,0.0,1.7467064924790066,40,241.8,68.8,1.0,1.0,0.49333333333333335,1.0,1.7467064924790066
epidural,5,2.6490892524006235,2.6490892524006235,1.0,1.745317444723551,25,400.8,100.8,1.0,1.0,0.5133333333333333,1.0,1.745317444723551
immunoprofile,5,2.6865112021385604,2.6865112021385604,1.0,1.7313890157278717,49,320.8,254.4,1.0,1.0,0.5,1.0,1.7313890157278717
seizures dermatologic,5,-2.656172940709494,2.656172940709494,0.0,1.7133002602397878,21,427.8,184.0,1.0,0.9933333333333334,0.48,1.0,1.7133002602397878
and to discuss,5,-2.7470969459659487,2.7470969459659487,0.0,1.7119677804711568,32,299.8,122.4,1.0,1.0,0.4666666666666667,1.0,1.7119677804711568
analgesia,5,-2.662815533647443,2.6628155336474433,0.0,1.7003386381220131,25,448.2,124.8,1.0,1.0,0.4666666666666667,1.0,1.7003386381220131
lesions. past,5,2.673105066223303,2.673105066223303,1.0,1.698543013064377,84,334.4,167.2,1.0,1.0,0.4866666666666667,1.0,1.698543013064377
lesions. past medical,5,2.673105066223303,2.673105066223303,1.0,1.698543013064377,85,333.8,167.2,1.0,1.0,0.4866666666666667,1.0,1.698543013064377
metastasis in,5,2.609722458051661,2.609722458051661,1.0,1.6964030710524516,11,439.6,195.2,1.0,1.0,0.4666666666666666,1.0,1.6964030710524516
are diagnostic,5,2.6396500013041924,2.6396500013041924,1.0,1.6914961945155071,56,514.6,77.6,1.0,1.0,0.47333333333333333,1.0,1.6914961945155071
are diagnostic of,5,2.6396500013041924,2.6396500013041924,1.0,1.6914961945155071,57,514.4,77.6,1.0,1.0,0.47333333333333333,1.0,1.6914961945155071
with a more,4,-2.8829851986258443,2.8829851986258443,0.0,2.1011560176976056,41,197.5,66.75,1.0,1.0,0.6166666666666667,1.0,1.6809248141580846
dermatologic none rash,5,-2.7802455626406966,2.780245562640697,0.0,1.67984987196045,83,236.0,224.8,1.0,1.0,0.45999999999999996,1.0,1.67984987196045
complexity <new,5,-2.6494187290266096,2.6494187290266096,0.0,1.679841230832356,15,705.6,522.4,1.0,1.0,0.4333333333333333,1.0,1.679841230832356
complexity <new note>,5,-2.6494187290266096,2.6494187290266096,0.0,1.679841230832356,16,705.8,522.4,1.0,1.0,0.4333333333333333,1.0,1.679841230832356
55 emotional,5,2.63263649809884,2.6326364980988397,1.0,1.6769394637800854,30,382.6,79.2,1.0,1.0,0.47333333333333333,1.0,1.6769394637800854
- metastatic,5,2.6888490572399686,2.688849057239969,1.0,1.6768022915587977,15,506.0,372.8,1.0,1.0,0.44666666666666666,1.0,1.6768022915587977
symptoms or,5,-2.6541488348068123,2.6541488348068123,0.0,1.6766166501975122,59,488.4,181.6,1.0,1.0,0.45999999999999996,1.0,1.6766166501975122
disease progression depression,5,-2.640813253811589,2.6408132538115887,0.0,1.6758254631652645,38,501.4,101.6,1.0,1.0,0.47333333333333333,1.0,1.6758254631652645
cell lung carcinoma,5,2.7046099262986933,2.7046099262986933,1.0,1.6654131607301572,12,404.0,610.4,1.0,1.0,0.42666666666666664,1.0,1.6654131607301572
of superior vena,5,-2.6020829214748185,2.6020829214748185,0.0,1.6629998657162488,31,782.8,73.6,1.0,1.0,0.44000000000000006,1.0,1.6629998657162488
of superior,5,-2.55191979216426,2.55191979216426,0.0,1.6571675865238895,6,1028.8,83.2,1.0,1.0,0.42000000000000004,1.0,1.6571675865238895
whichever,5,-2.7650891244281093,2.7650891244281093,0.0,1.6386983547262244,130,231.4,72.0,1.0,1.0,0.4533333333333333,1.0,1.6386983547262244
of oral prednisone,5,-2.69933643785896,2.69933643785896,0.0,1.6381718999663057,108,210.4,64.0,1.0,1.0,0.47333333333333333,1.0,1.6381718999663057
<1 %,5,-2.739297617734567,2.739297617734567,0.0,1.6354197884812696,48,729.6,214.4,0.9714285714285713,1.0,0.4133333333333333,1.0,1.6354197884812696
55 emotional function,5,2.5841726373079723,2.5841726373079723,1.0,1.6319402405315586,31,408.0,59.2,1.0,1.0,0.4666666666666667,1.0,1.6319402405315586
reports increasing fatigue,5,-2.6025043258078364,2.6025043258078364,0.0,1.627127501863241,33,409.8,92.0,1.0,1.0,0.45999999999999996,1.0,1.627127501863241
allergies nkda social,5,-2.703959422723691,2.703959422723691,0.0,1.6239703029668398,34,458.8,197.6,1.0,1.0,0.42666666666666664,1.0,1.6239703029668398
metastatic nsclc,5,2.644260654845129,2.6442606548451284,1.0,1.6066414644327902,61,258.6,513.6,1.0,1.0,0.45999999999999996,1.0,1.6066414644327902
palpitations or,5,2.5924046165332078,2.5924046165332078,1.0,1.578435389693147,33,634.6,721.6,1.0,1.0,0.42666666666666664,1.0,1.578435389693147
reports increasing,5,-2.531390068767281,2.5313900687672812,0.0,1.5777804249987901,21,523.4,109.6,1.0,1.0,0.44000000000000006,1.0,1.5777804249987901
cytopenias,5,-2.5906476311573376,2.5906476311573376,0.0,1.5704541191592616,24,698.0,324.0,1.0,1.0,0.4066666666666666,1.0,1.5704541191592616
left lung,5,2.5774189998723225,2.5774189998723225,1.0,1.5700715171246633,28,724.6,226.4,1.0,0.9933333333333334,0.42000000000000004,1.0,1.5700715171246633
pain no new,5,-2.58193308615996,2.5819330861599594,0.0,1.5398490482505234,2,774.4,84.0,1.0,1.0,0.3666666666666667,1.0,1.5398490482505234
of stairs .,5,-2.678596615597527,2.6785966155975265,0.0,1.517949249543599,71,423.4,106.4,1.0,1.0,0.4,1.0,1.517949249543599
--- subjective chief,5,2.552885210870488,2.552885210870488,1.0,1.517240605655124,72,482.4,302.4,1.0,1.0,0.4333333333333333,1.0,1.517240605655124
offer early,5,-2.627463586676307,2.627463586676307,0.0,1.5171504744764315,41,481.0,112.0,1.0,0.9933333333333334,0.39999999999999997,1.0,1.5171504744764315
rubs,5,2.528798461277762,2.528798461277762,1.0,1.5105262800453518,25,757.0,736.0,1.0,1.0,0.4,1.0,1.5105262800453518
status. ---,5,-2.564684512634907,2.5646845126349076,0.0,1.5095796322435577,43,854.0,97.6,1.0,1.0,0.4066666666666666,1.0,1.5095796322435577
mass now,5,-2.5442777196076642,2.5442777196076642,0.0,1.5024165006431587,45,622.0,445.6,0.9714285714285715,1.0,0.4133333333333333,1.0,1.5024165006431587
score <1 %,5,-2.6306965787656047,2.6306965787656047,0.0,1.4977077837951356,28,572.6,60.8,1.0,1.0,0.38,1.0,1.4977077837951356
tract,5,2.591714601407358,2.591714601407358,1.0,1.4821118640302255,60,406.4,323.2,1.0,1.0,0.4,1.0,1.4821118640302255
superior,5,-2.4262840066729323,2.4262840066729323,0.0,1.477211417034944,52,1395.6,140.0,1.0,1.0,0.37333333333333335,1.0,1.477211417034944
with primary,5,2.357018020961678,2.3570180209616782,1.0,1.4658597895655685,14,1713.4,459.2,1.0,0.9933333333333334,0.3933333333333333,1.0,1.4658597895655685
for 3,5,2.611223080026011,2.611223080026011,1.0,1.4637560889700592,58,432.6,272.8,1.0,1.0,0.38666666666666666,1.0,1.4637560889700592
function 55 emotional,5,2.508339524880391,2.508339524880391,1.0,1.4629406380373726,61,512.6,60.8,1.0,1.0,0.4066666666666666,1.0,1.4629406380373726
after prior,5,2.6064439585234576,2.6064439585234576,1.0,1.4625021775738136,124,503.0,238.4,1.0,1.0,0.38666666666666666,1.0,1.4625021775738136
dyspnea 25,5,-2.5238256667279173,2.5238256667279173,0.0,1.4588522325774491,133,813.0,162.4,1.0,1.0,0.4,1.0,1.4588522325774491
three cycles,5,2.5122575674412646,2.5122575674412646,1.0,1.4568080536932466,65,506.6,101.6,1.0,1.0,0.4066666666666666,1.0,1.4568080536932466
fatigue grade,5,2.4995233785270186,2.4995233785270186,1.0,1.456680161179745,63,395.4,578.4,1.0,1.0,0.4133333333333334,1.0,1.456680161179745
----------------------- kras c.34g>t,5,2.5806622962838905,2.5806622962838905,1.0,1.4532127585725343,79,446.8,203.2,1.0,1.0,0.3866666666666666,1.0,1.4532127585725343
increasing,5,-2.5236100850279026,2.5236100850279026,0.0,1.4487009253909373,20,598.0,243.2,1.0,1.0,0.37333333333333335,1.0,1.4487009253909373
alk or,5,-2.6191065409737937,2.6191065409737937,0.0,1.4390033309288954,53,540.2,72.0,1.0,1.0,0.36,1.0,1.4390033309288954
without focal,5,2.553989318172948,2.553989318172948,1.0,1.4205900744888895,80,348.8,88.0,1.0,1.0,0.3933333333333333,1.0,1.4205900744888895
fdg-avid osseous lesions,5,-2.4208662019285003,2.4208662019285,0.0,1.419153874331924,37,882.8,94.4,1.0,1.0,0.38666666666666666,1.0,1.419153874331924
30 s,5,2.5950008001517806,2.5950008001517806,1.0,1.4147721739246837,70,480.0,68.0,1.0,1.0,0.3666666666666667,1.0,1.4147721739246837
lymphadenopathy. - lungs,5,-2.4419098739128176,2.441909873912818,0.0,1.412408576771802,31,918.6,202.4,1.0,1.0,0.37333333333333335,1.0,1.412408576771802
murmurs rubs,5,2.472422583241495,2.472422583241495,1.0,1.4117136414907658,46,815.6,733.6,1.0,1.0,0.37333333333333335,1.0,1.4117136414907658
no murmurs rubs,5,2.472422583241495,2.472422583241495,1.0,1.4117136414907658,45,815.8,733.6,1.0,1.0,0.37333333333333335,1.0,1.4117136414907658
and may,5,-2.3996986749479006,2.3996986749479006,0.0,1.410961226986132,31,903.2,632.0,1.0,1.0,0.37333333333333335,1.0,1.410961226986132
chest pain no,5,2.5565696423760444,2.5565696423760444,1.0,1.4098984993666284,52,572.4,106.4,1.0,1.0,0.37333333333333335,1.0,1.4098984993666284
- age,5,-2.495825804069451,2.495825804069451,0.0,1.4084496132898159,24,604.6,116.0,1.0,1.0,0.3666666666666667,1.0,1.4084496132898159
e.g. new,5,2.539116115175765,2.539116115175765,1.0,1.401753380585389,42,594.0,72.8,1.0,1.0,0.35333333333333333,1.0,1.401753380585389
additional focal hepatic,5,2.5566414637366766,2.556641463736677,1.0,1.401589457271141,68,571.0,73.6,1.0,1.0,0.3666666666666667,1.0,1.401589457271141
progression depression,5,-2.484361854721432,2.484361854721432,0.0,1.4009662759846684,44,756.0,103.2,1.0,1.0,0.37333333333333335,1.0,1.4009662759846684
70 100,5,-2.295012802773896,2.295012802773896,0.0,1.4001625178271757,51,1984.2,741.6,1.0,1.0,0.38,1.0,1.4001625178271757
---------------- kras g12c,5,-2.4899916243989475,2.4899916243989475,0.0,1.3993194502921233,62,605.4,72.8,1.0,1.0,0.38,1.0,1.3993194502921233
evidence of acute,5,2.5238048365325176,2.5238048365325176,1.0,1.3956905329823353,67,749.0,67.2,1.0,1.0,0.36,1.0,1.3956905329823353
minutes post-injection. low-dose,5,-2.4683758436387406,2.46837584363874,0.0,1.390650715585258,57,526.6,87.2,1.0,1.0,0.38,1.0,1.390650715585258
increasing fatigue,5,-2.486477518392765,2.486477518392765,0.0,1.3845388497088222,47,625.6,148.0,1.0,1.0,0.37333333333333335,1.0,1.3845388497088222
given molecular,5,2.208201894718197,2.208201894718197,1.0,1.3768395140489904,64,2991.8,74.4,1.0,0.9800000000000001,0.38666666666666666,1.0,1.3768395140489904
negative nuclear,5,2.5489768086656577,2.5489768086656577,1.0,1.3738680985841647,167,344.6,116.0,1.0,1.0,0.38,1.0,1.3738680985841647
--- subjective,5,2.5031646988276015,2.5031646988276015,1.0,1.3722052880295852,113,617.6,310.4,1.0,1.0,0.37333333333333335,1.0,1.3722052880295852
nodules identified in,5,-2.4544261699956165,2.4544261699956165,0.0,1.3689015171675014,94,904.2,67.2,1.0,1.0,0.36666666666666664,1.0,1.3689015171675014
- high pd-l1,5,2.4466455937804406,2.44664559378044,1.0,1.3652726491792657,33,917.0,69.6,1.0,1.0,0.3466666666666667,1.0,1.3652726491792657
the limited upper,5,-2.4693352904632073,2.469335290463207,0.0,1.3568762623388195,29,1071.8,66.4,1.0,1.0,0.33333333333333337,1.0,1.3568762623388195
60 %,5,2.463669811006416,2.463669811006416,1.0,1.3535797827609863,40,972.8,88.0,1.0,1.0,0.33999999999999997,1.0,1.3535797827609863
and may contribute,5,-2.513546597719505,2.513546597719505,0.0,1.3528901637494282,158,489.6,150.4,1.0,1.0,0.36666666666666664,1.0,1.3528901637494282
40 100 emotional,5,-2.3013387012557103,2.3013387012557107,0.0,1.3511922475259115,38,1967.4,136.8,0.9714285714285713,1.0,0.33999999999999997,1.0,1.3511922475259115
are common in,5,-2.5745481860830437,2.5745481860830437,0.0,1.3482396917445723,87,368.8,95.2,1.0,1.0,0.35333333333333333,1.0,1.3482396917445723
role function 40,5,-2.303178770519655,2.303178770519655,0.0,1.3466668944736806,42,1735.0,135.2,0.9714285714285713,1.0,0.33999999999999997,1.0,1.3466668944736806
difficulty,5,-2.541925667952477,2.541925667952477,0.0,1.3457840786993587,48,454.0,88.8,1.0,1.0,0.3466666666666667,1.0,1.3457840786993587
fullness,5,2.490856604180503,2.490856604180503,1.0,1.3392211930577176,121,467.8,56.0,1.0,1.0,0.36666666666666664,1.0,1.3392211930577176
multiplanar,5,2.349919740285086,2.349919740285086,1.0,1.3363341848928885,36,1146.2,414.4,1.0,1.0,0.3666666666666667,1.0,1.3363341848928885
<1 %.,5,-2.553983795315944,2.553983795315944,0.0,1.3341494058883538,82,464.2,161.6,1.0,1.0,0.33999999999999997,1.0,1.3341494058883538
3 nad in,5,2.493617246321498,2.493617246321498,1.0,1.3324152564566571,39,519.4,121.6,1.0,1.0,0.3533333333333334,1.0,1.3324152564566571
alk or ros1,5,-2.535050657001913,2.535050657001913,0.0,1.3303771759479814,76,656.2,71.2,1.0,1.0,0.32666666666666666,1.0,1.3303771759479814
metastasis management,5,2.427707645786147,2.427707645786147,1.0,1.3280344656015282,116,478.6,72.0,1.0,1.0,0.38,1.0,1.3280344656015282
stairs .,5,-2.5028884238779012,2.5028884238779017,0.0,1.3243042530076017,109,565.4,110.4,1.0,1.0,0.3466666666666667,1.0,1.3243042530076017
clinician,5,2.414145827274824,2.414145827274824,1.0,1.3199054026043133,24,1256.0,77.6,1.0,1.0,0.33333333333333337,1.0,1.3199054026043133
75 100 cognitive,5,-2.436145908603037,2.436145908603037,0.0,1.3112068697609698,141,770.8,202.4,1.0,1.0,0.35333333333333333,1.0,1.3112068697609698
lisinopril - no,5,-2.4689613716173158,2.4689613716173158,0.0,1.3103570958523445,28,1237.4,72.0,1.0,1.0,0.3,1.0,1.3103570958523445
laboratory trends mild,4,2.585724203967234,2.5857242039672337,1.0,1.6281096716678936,54,425.25,61.0,1.0,1.0,0.4583333333333333,1.0,1.3024877373343149
trends mild,4,2.585724203967234,2.5857242039672337,1.0,1.6281096716678936,55,425.25,61.0,1.0,1.0,0.4583333333333333,1.0,1.3024877373343149
vaf copy-number,5,2.506365287126881,2.5063652871268807,1.0,1.3023965953644487,51,577.6,62.4,1.0,1.0,0.31999999999999995,1.0,1.3023965953644487
to obtain,5,-2.4199961611832963,2.4199961611832967,0.0,1.301839098091865,14,1320.8,95.2,0.9714285714285713,1.0,0.30666666666666664,1.0,1.301839098091865
on quality,5,-2.227908546856312,2.2279085468563125,0.0,1.2919700512363577,12,1895.6,124.0,1.0,1.0,0.32,1.0,1.2919700512363577
on quality of,5,-2.227908546856312,2.2279085468563125,0.0,1.2919700512363577,11,1895.4,124.0,1.0,1.0,0.32,1.0,1.2919700512363577
-------------------,5,-2.3136381092498737,2.3136381092498732,0.0,1.288526761458057,4,1688.6,416.0,1.0,1.0,0.26666666666666666,1.0,1.288526761458057
mass or,5,2.390499490632963,2.390499490632963,1.0,1.2884772658743615,24,1252.4,139.2,1.0,1.0,0.3066666666666667,1.0,1.2884772658743615
<=3.0,5,2.540059333677609,2.540059333677609,1.0,1.2870592075021379,143,402.2,242.4,1.0,1.0,0.3333333333333333,1.0,1.2870592075021379
- fda-approved,5,2.149879517679096,2.149879517679096,1.0,1.2851090551278816,29,2974.4,188.0,1.0,0.9933333333333334,0.33999999999999997,1.0,1.2851090551278816
murmurs rubs or,5,2.3576799162132076,2.357679916213208,1.0,1.279946709990078,88,1051.2,732.0,1.0,1.0,0.33333333333333337,1.0,1.279946709990078
rubs or,5,2.3576799162132076,2.357679916213208,1.0,1.279946709990078,87,1050.6,732.0,1.0,1.0,0.33333333333333337,1.0,1.279946709990078
pd-l1 22c3,5,-2.2772174034214503,2.27721740342145,0.0,1.273741495957049,35,2030.4,592.8,1.0,1.0,0.30666666666666664,1.0,1.273741495957049
loss -,5,2.3882017982276786,2.3882017982276786,1.0,1.2723406455596935,50,788.4,557.6,1.0,1.0,0.32666666666666666,1.0,1.2723406455596935
the immunophenotype ttf-1+,5,-2.2364739704431456,2.2364739704431456,0.0,1.2719075096182675,40,1247.0,96.8,1.0,1.0,0.35333333333333333,1.0,1.2719075096182675
negative nuclear excludes,5,2.478266647438292,2.478266647438292,1.0,1.271132695530578,206,391.0,113.6,1.0,1.0,0.3466666666666667,1.0,1.271132695530578
nuclear excludes,5,2.478266647438292,2.478266647438292,1.0,1.271132695530578,204,390.2,113.6,1.0,1.0,0.3466666666666667,1.0,1.271132695530578
